DATE,DEXJPUS
2013-08-29,98.4600
2013-08-30,98.2200
2013-09-02,.
2013-09-03,99.4300
2013-09-04,99.6100
2013-09-05,100.0800
2013-09-06,99.0400
2013-09-09,99.5500
2013-09-10,100.2200
2013-09-11,100.0800
2013-09-12,99.2400
2013-09-13,99.3800
2013-09-16,98.9800
2013-09-17,99.1600
2013-09-18,99.0400
2013-09-19,99.3300
2013-09-20,99.3800
2013-09-23,98.7600
2013-09-24,98.7600
2013-09-25,98.6200
2013-09-26,98.9500
2013-09-27,98.3000
2013-09-30,98.2900
2013-10-01,98.0500
2013-10-02,97.3600
2013-10-03,97.0800
2013-10-04,97.2000
2013-10-07,97.0200
2013-10-08,96.9400
2013-10-09,97.2300
2013-10-10,98.0900
2013-10-11,98.4200
2013-10-14,.
2013-10-15,98.5800
2013-10-16,98.9000
2013-10-17,97.8500
2013-10-18,97.7700
2013-10-21,98.1400
2013-10-22,98.1800
2013-10-23,97.2800
2013-10-24,97.3600
2013-10-25,97.4600
2013-10-28,97.7000
2013-10-29,98.0900
2013-10-30,98.1400
2013-10-31,98.1000
2013-11-01,98.7800
2013-11-04,98.6200
2013-11-05,98.6000
2013-11-06,98.6000
2013-11-07,98.5600
2013-11-08,99.0300
2013-11-11,.
2013-11-12,99.6500
2013-11-13,99.3100
2013-11-14,99.9300
2013-11-15,100.1700
2013-11-18,100.0400
2013-11-19,100.1400
2013-11-20,100.0200
2013-11-21,100.9500
2013-11-22,101.2900
2013-11-25,101.7000
2013-11-26,101.3800
2013-11-27,102.1800
2013-11-28,.
2013-11-29,102.4500
2013-12-02,103.0400
2013-12-03,102.3600
2013-12-04,102.4800
2013-12-05,101.8200
2013-12-06,102.8800
2013-12-09,103.2200
2013-12-10,102.8000
2013-12-11,102.3800
2013-12-12,103.1100
2013-12-13,103.2800
2013-12-16,102.9100
2013-12-17,102.6300
2013-12-18,103.1800
2013-12-19,104.1600
2013-12-20,104.0700
2013-12-23,104.0600
2013-12-24,104.2600
2013-12-25,.
2013-12-26,104.7200
2013-12-27,105.0500
2013-12-30,105.0000
2013-12-31,105.2500
2014-01-01,.
2014-01-02,104.8400
2014-01-03,104.4600
2014-01-06,104.3800
2014-01-07,104.5400
2014-01-08,104.8700
2014-01-09,104.7400
2014-01-10,104.0600
2014-01-13,103.3100
2014-01-14,103.8000
2014-01-15,104.4200
2014-01-16,104.3200
2014-01-17,104.3200
2014-01-20,.
2014-01-21,104.1400
2014-01-22,104.3600
2014-01-23,103.6500
2014-01-24,102.4100
2014-01-27,102.2600
2014-01-28,102.8000
2014-01-29,102.2000
2014-01-30,102.8300
2014-01-31,102.2800
2014-02-03,101.1100
2014-02-04,101.6200
2014-02-05,101.3800
2014-02-06,101.8400
2014-02-07,102.3200
2014-02-10,102.1400
2014-02-11,102.6300
2014-02-12,102.4800
2014-02-13,102.2000
2014-02-14,101.8200
2014-02-17,.
2014-02-18,102.3100
2014-02-19,102.3000
2014-02-20,102.3200
2014-02-21,102.7100
2014-02-24,102.4400
2014-02-25,102.2000
2014-02-26,102.3600
2014-02-27,102.1200
2014-02-28,102.0800
2014-03-03,101.3600
2014-03-04,102.1800
2014-03-05,102.3200
2014-03-06,103.0300
2014-03-07,103.3800
2014-03-10,103.2300
2014-03-11,103.1800
2014-03-12,102.7400
2014-03-13,102.1200
2014-03-14,101.4600
2014-03-17,101.6200
2014-03-18,101.3700
2014-03-19,101.5400
2014-03-20,102.3900
2014-03-21,102.3800
2014-03-24,102.2100
2014-03-25,102.3200
2014-03-26,102.3000
2014-03-27,102.1000
2014-03-28,102.9200
2014-03-31,102.9800
2014-04-01,103.5200
2014-04-02,103.8200
2014-04-03,103.9400
2014-04-04,103.3900
2014-04-07,103.0400
2014-04-08,102.1200
2014-04-09,101.8500
2014-04-10,101.4300
2014-04-11,101.5600
2014-04-14,101.8100
2014-04-15,101.6000
2014-04-16,102.3000
2014-04-17,102.2200
2014-04-18,102.4300
2014-04-21,102.5600
2014-04-22,102.6000
2014-04-23,102.2600
2014-04-24,102.3400
2014-04-25,102.1200
2014-04-28,102.4600
2014-04-29,102.5700
2014-04-30,102.1400
2014-05-01,102.3000
2014-05-02,102.3400
2014-05-05,102.0600
2014-05-06,101.5700
2014-05-07,101.7200
2014-05-08,101.6600
2014-05-09,101.7400
2014-05-12,102.1000
2014-05-13,102.2000
2014-05-14,101.7500
2014-05-15,101.4400
2014-05-16,101.5000
2014-05-19,101.2600
2014-05-20,101.2600
2014-05-21,101.4400
2014-05-22,101.7600
2014-05-23,101.8800
2014-05-26,.
2014-05-27,102.1400
2014-05-28,101.7800
2014-05-29,101.5800
2014-05-30,101.7700
2014-06-02,102.3000
2014-06-03,102.4200
2014-06-04,102.6900
2014-06-05,102.4400
2014-06-06,102.5000
2014-06-09,102.5200
2014-06-10,102.3700
2014-06-11,101.9400
2014-06-12,101.8300
2014-06-13,102.0600
2014-06-16,101.8200
2014-06-17,102.1800
2014-06-18,102.1600
2014-06-19,101.8400
